,id,x,y,unique_squi_id,Shift,Date,Age,primary_fur_color,Location,specific_location,running,Chasing,Climbing,Eating,Foraging,other_activities,Kuks,Quaas,Moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
0,1002,-73.9561344937861,40.794082388408604,37F-PM-1014-03,PM,10142018,not known,gray,not known,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
1,1003,-73.9570437717691,40.7948509408039,37E-PM-1006-03,PM,10062018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,True
2,1004,-73.9768311751004,40.766717807255795,2E-AM-1010-03,AM,10102018,Adult,Cinnamon,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,True,False
3,1005,-73.9757249834141,40.7697032606755,5D-PM-1018-05,PM,10182018,Juvenile,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,True
4,1006,-73.9593126695714,40.797533370163,39B-AM-1018-01,AM,10182018,not known,gray,Above Ground,not known,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
5,1007,-73.9565700386162,40.7902561000937,33H-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,not known,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
6,1008,-73.9719735582476,40.769304513357795,6G-PM-1020-02,PM,10202018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,True,False
7,1009,-73.9602609920814,40.7942883045566,35C-PM-1013-03,PM,10132018,not known,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
8,1010,-73.9770718586754,40.7729752391435,7B-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
9,1011,-73.9596413903948,40.790312888902896,32E-PM-1017-14,PM,10172018,Adult,Gray,not known,not known,False,False,False,True,True,not known,False,False,False,False,False,False,False,True
10,1012,-73.9702676472613,40.7762126854894,13E-AM-1017-05,AM,10172018,Adult,Gray,Above Ground,on tree stump,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
11,1013,-73.96836135162249,40.772590884749896,11H-AM-1010-03,AM,10102018,Adult,Cinnamon,not known,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
12,1014,-73.95412017897951,40.793181170108205,36H-AM-1010-02,AM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
13,1015,-73.9582694312289,40.7917367820255,33F-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
14,1016,-73.9674285955293,40.7829723919744,21C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,not known,False,False,False,True,True,False,False,False
15,1017,-73.97225001968441,40.7742879599026,11D-AM-1010-03,AM,10102018,Adult,Gray,Above Ground,not known,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False
16,1018,-73.96950635353329,40.7823507678183,20B-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
17,1019,-73.9532170504865,40.7919669739962,36I-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
18,1020,-73.9768603630674,40.7702795904962,5C-PM-1010-09,PM,10102018,Adult,Cinnamon,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,False
19,1021,-73.9706105896967,40.769812482150705,7H-AM-1006-05,AM,10062018,Adult,Gray,Above Ground,not known,False,False,False,False,False,not known,False,False,False,False,False,False,True,False
20,1022,-73.9703781726172,40.778752613032104,16C-PM-1018-03,PM,10182018,Adult,Gray,Above Ground,not known,True,False,False,True,True,not known,False,False,False,False,False,False,True,False
21,1023,-73.9703925210471,40.7765032004992,14E-AM-1008-23,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
22,1024,-73.9638179439747,40.7924173263904,32A-PM-1013-03,PM,10132018,Juvenile,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,True,False
23,1025,-73.9584070974734,40.7913812490557,33F-AM-1008-01,AM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False
24,1026,-73.96711306801141,40.7784859700171,17F-AM-1007-07,AM,10072018,Adult,Gray,Above Ground,not known,True,False,False,False,False,not known,False,False,False,True,False,False,True,False
25,1027,-73.9649866016038,40.776492969445705,16I-AM-1008-01,AM,10082018,Adult,Cinnamon,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
26,1028,-73.9670628558161,40.7734991420941,12I-AM-1013-01,AM,10132018,Adult,Cinnamon,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True
27,1029,-73.958736593111,40.790852437062604,32F-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,False,False,True,False
28,1030,-73.96717867152559,40.7867352791232,25A-AM-1013-04,AM,10132018,not known,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
29,1031,-73.96929432916109,40.776953610248796,15E-AM-1013-01,AM,10132018,Adult,Gray,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,False,False,False,False
30,1032,-73.9540054100539,40.795244599983604,39G-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,False
31,1033,-73.9576530157255,40.7868659490397,29I-PM-1007-01,PM,10072018,not known,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,False,False,False,False
32,1034,-73.9738033257473,40.7711846894166,7E-AM-1006-02,AM,10062018,Adult,Gray,Ground Plane,under a tree,False,False,False,True,False,not known,False,False,False,False,False,False,False,False
33,1035,-73.9704402681017,40.77989656212029,17C-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
34,1036,-73.97569760767071,40.775389733191794,10A-PM-1014-01,PM,10142018,Adult,Gray,Ground Plane,in b/w trees,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
35,1037,-73.96624389966809,40.7890381809441,28A-PM-1007-05,PM,10072018,Adult,Cinnamon,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,True,False,False,True
36,1038,-73.96431539204279,40.78208185169571,22F-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,not known,False,False,False,False,False,False,False,False
37,1039,-73.9742073452913,40.7757957380463,12B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,not known,False,False,False,True,False,False,True,False
38,1040,-73.9716147061553,40.7813911036179,18A-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
39,1041,-73.9535410657077,40.7928711760061,36H-PM-1008-02,PM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
40,1042,-73.96391592984459,40.789177463798794,29C-AM-1007-06,AM,10072018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,False,False,True
41,1043,-73.9579564338627,40.795933779502704,38C-PM-1014-09,PM,10142018,Adult,Black,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,True,False,False
42,1044,-73.9574648097543,40.7892508428622,31H-PM-1008-02,PM,10082018,Juvenile,Gray,Above Ground,not known,True,False,True,False,False,not known,False,False,False,False,True,False,True,False
43,1045,-73.970252675331,40.7705999588222,8H-AM-1017-06,AM,10172018,Adult,Gray,Above Ground,not known,False,False,False,True,False,not known,False,False,False,False,False,False,True,False
44,1046,-73.9579645940414,40.7918613498407,34F-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,not known,True,False,True,False,False,not known,False,False,False,False,False,False,False,True
45,1047,-73.9673253417305,40.7749505252981,13H-PM-1010-02,PM,10102018,Adult,Gray,Above Ground,tree,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
46,1048,-73.9640032826529,40.782030982544796,22F-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,True,False,True,False
47,1049,-73.95959331954091,40.7905847332369,32E-AM-1007-13,AM,10072018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
48,1050,-73.9602222116708,40.793779699421,35C-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,not known,False,False,True,False,False,not known,False,False,False,False,False,False,False,False
49,1051,-73.96806350709491,40.779249873647,17E-AM-1017-05,AM,10172018,Adult,Black,Above Ground,Branch,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
50,1052,-73.9801666435401,40.7686905339212,2B-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,not known,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
51,1053,-73.9675634326877,40.781347735250705,19D-AM-1007-01,AM,10072018,Juvenile,Gray,Ground Plane,not known,False,False,True,True,False,not known,False,False,False,False,False,False,False,False
52,1054,-73.95849706432129,40.7982886348696,40B-AM-1019-03,AM,10192018,Juvenile,Gray,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,True,True,False,False
53,1055,-73.97602982411779,40.7681954366911,3E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,False,False,False,True,False
54,1056,-73.9568802149818,40.7972399133816,39C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,not known,True,False,False,False,True,not known,False,False,False,False,False,False,True,False
55,1057,-73.97246424363941,40.7690526441109,6G-AM-1008-02,AM,10082018,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
56,1058,-73.9690175838534,40.77604327200171,14F-AM-1007-05,AM,10072018,Juvenile,Gray,Ground Plane,not known,False,False,False,True,False,not known,False,False,False,False,False,False,True,False
57,1059,-73.9704082821356,40.7690280985956,6I-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
58,1060,-73.9684910712272,40.776881164002106,15F-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
59,1061,-73.9768674812942,40.7735232648872,8B-PM-1012-02,PM,10122018,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
60,1062,-73.9797084866613,40.7698885241349,3A-PM-1017-06,PM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,True
61,1063,-73.952819267977,40.792313040279296,36I-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
62,1064,-73.9745630038492,40.7692602628745,5E-AM-1008-06,AM,10082018,Adult,Cinnamon,Ground Plane,not known,True,False,False,False,False,not known,False,False,False,False,False,True,False,False
63,1065,-73.95950023395079,40.7903365788694,32E-PM-1017-13,PM,10172018,Adult,Gray,not known,not known,False,False,False,True,True,not known,False,False,False,False,False,False,True,False
64,1066,-73.9741824992294,40.7689486657963,5F-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
65,1067,-73.9749243901189,40.7761393551781,11B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
66,1068,-73.968381325559,40.7780143443779,16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
67,1069,-73.96942403275091,40.7755898126674,13F-AM-1007-02,AM,10072018,Adult,Cinnamon,not known,not known,False,False,False,True,True,not known,False,False,False,False,False,False,True,False
68,1070,-73.9689000978955,40.7828364735236,20B-PM-1013-10,PM,10132018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
69,1071,-73.9804528867547,40.7696753655986,3A-PM-1017-05,PM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,False,False
70,1072,-73.9576245992455,40.7873862510001,29H-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,not known,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
71,1073,-73.9666007935638,40.7845098131567,23C-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,not known,False,False,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
72,1074,-73.96148483609001,40.7922645521905,33C-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,True,False,True,False
73,1075,-73.95466541841459,40.7947639241491,38G-PM-1020-09,PM,10202018,Adult,Gray,Ground Plane,not known,False,False,False,True,True,not known,False,False,False,True,False,False,True,False
74,1076,-73.9667114027214,40.7768804702473,16G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
75,1077,-73.9530035564643,40.792182245761296,36I-PM-1007-07,PM,10072018,Adult,Gray,Ground Plane,not known,False,False,False,False,True,not known,False,False,False,False,False,False,True,False
